embedding_model,config_name,chunksize,chunkoverlap,num_retrieve,llm_name,audience_type,question_num,question,context,response,cleaned_response,llm_temp,llm_top_p,llm_do_sample,llm_repetition_penalty,inference_time,embedding_dim
all-mpnet-base-v2,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,7,What licensing terms are associated with source-available models like Mistral AI's language models?,"model fine-tuned from Mistral 7B that significantly outperforms the Llama 2 13B – Chat model.
Mistral 7B takes a significant step in balancing the goals of getting high performance while keeping
large language models efficient. Through our work, our aim is to help the community create more
affordable, efficient, and high-performing language models that can be used in a wide range of
real-world applications.
2
Architectural details

the dataset license in the paper or a repository. The
rest is over view as follows:
• Apache License 2.0 license: GOV2, TREC-
9https://quoradata.quora.com/
First-Quora-Dataset-Release-Question-Pairs
10https://huggingface.co/BeIR
11https://creativecommons.org/licenses/by-sa/4.
0/
Robust, CODEC, CNN/DM
• MIT license: TREC-CAsT, GECOR, ORCAS-
I, MIMICS, MIMICS-Duo, XSum
• CC BY 4.0: Query2Doc, MSRP, SQuAD
• CC BY-SA 4.0: CANARD, BEIR, HotpotQA,
QuAC
• CC BY-SA 3.0: QReCC, FEVER, BoolQ
• CC BY-NC 2.0: SciFact

filter based on their particular use-case.
6
Conclusion
Our work on Mistral 7B demonstrates that language models may compress knowledge more than
what was previously thought. This opens up interesting perspectives: the field has so far put the
emphasis on scaling laws in 2 dimensions (directly associating model capabilities to training cost, as
in [14]); the problem is rather 3 dimensional (model capabilities, training cost, inference cost), and

Mistral 7B
Albert Q. Jiang, Alexandre Sablayrolles, Arthur Mensch, Chris Bamford,
Devendra Singh Chaplot, Diego de las Casas, Florian Bressand, Gianna Lengyel,
Guillaume Lample, Lucile Saulnier, Lélio Renard Lavaud, Marie-Anne Lachaux,
Pierre Stock, Teven Le Scao, Thibaut Lavril, Thomas Wang, Timothée Lacroix,
William El Sayed
Abstract
We introduce Mistral 7B, a 7–billion-parameter language model engineered for
superior performance and efficiency. Mistral 7B outperforms the best open 13B

Generative AI tools have become more common since the AI boom in the 2020s. This boom was made possible by improvements in deep neural networks, particularly large language models (LLMs), which are based on the transformer architecture. Major tools include LLM-based chatbots such as ChatGPT, Claude, Copilot, DeepSeek, Google Gemini and Grok, and ; text-to-image models such as Stable Diffusion, Midjourney, and DALL-E; and text-to-video models such as Veo and Sora. Technology companies developing generative","ANSWER: Our language models, like Mistral 7B, come under various licenses, including Apache 2.0, MIT, Creative Commons BY and SA, and CC BY-NC 2.0. These choices allow us to create affordable, efficient, and high-performing models suitable for diverse real-world applications.","Our language models, like Mistral 7B, come under various licenses, including Apache 2.0, MIT, Creative Commons BY and SA, and CC BY-NC 2.These choices allow us to create affordable, efficient, and high-performing models suitable for diverse real-world applications.",0.6,0.95,True,1.2,0.0,768
all-mpnet-base-v2,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,11,Which components have allowed large language models to surpass their predecessors?,"== Background ==
After the release of large language models such as GPT-3, a focus of research was up-scaling models, which in some instances showed major increases in emergent capabilities. The release of ChatGPT and its surprise success caused an increase in attention to large language models.
Compared with other responses to ChatGPT, Meta's Chief AI scientist Yann LeCun stated that large language models are best for aiding with writing.


== Versions ==

are largely independent of the model quality (measured in language modelling loss), i.e. that better
models of the training dataset are not necessarily more toxic.
5. Discussion & Conclusion
The trend so far in large language model training has been to increase the model size, often without
increasing the number of training tokens. The largest dense transformer, MT-NLG 530B, is now
over 3× larger than GPT-3’s 170 billion parameters from just two years ago. However, this model,

RAG-Survey
in Figure 1. The development trajectory of RAG in the era
of large models exhibits several distinct stage characteristics.
Initially, RAG’s inception coincided with the rise of the
Transformer architecture, focusing on enhancing language
models by incorporating additional knowledge through Pre-
Training Models (PTM). This early stage was characterized
by foundational work aimed at refining pre-training techniques
[3]–[5].The subsequent arrival of ChatGPT [6] marked a

Before the emergence of transformer-based models in 2017, some language models were considered large relative to the computational and data constraints of their time. In the early 1990s, IBM's statistical models pioneered word alignment techniques for machine translation, laying the groundwork for corpus-based language modeling. In 2001, a smoothed n-gram model, such as those employing Kneser–Ney smoothing, trained on 300 million words, achieved state-of-the-art perplexity on benchmark tests. During the

Before the emergence of transformer-based models in 2017, some language models were considered large relative to the computational and data constraints of their time. In the early 1990s, IBM's statistical models pioneered word alignment techniques for machine translation, laying the groundwork for corpus-based language modeling. In 2001, a smoothed n-gram model, such as those employing Kneser–Ney smoothing, trained on 300 million words, achieved state-of-the-art perplexity on benchmark tests. During the","Answer: Large language models like ChatGPT have surpassed their predecessors due to advancements in model scaling, specifically increasing model sizes while keeping the number of training tokens relatively stable. These improvements allow them to be more effective in assisting with various writing tasks, according to Meta's Chief AI Scientist, Yann LeCun (Context: Transformer architecture, Pre-Training Models, and increased model sizes).","Large language models like ChatGPT have surpassed their predecessors due to advancements in model scaling, specifically increasing model sizes while keeping the number of training tokens relatively stable. These improvements allow them to be more effective in assisting with various writing tasks, according to Meta's Chief AI Scientist, Yann LeCun (Context: Transformer architecture, Pre-Training Models, and increased model sizes).",0.6,0.95,True,1.2,0.0,768
all-mpnet-base-v2,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,19,What is the significant enhancement in Claude 2.1 compared to its previous version?,"tion comparable performance as the original models, except for BoolQ dataset that may require models to pay
close attention to word ordering in a short reference paragraph.
Model
Evaluation Score
Model
Context Window
ROUGE-1
ROUGE-2
ROUGE-L
CoLT5 Base (Ainslie et al., 2023)
16K
58.7
29.6
31.4
CoLT5 XL (Ainslie et al., 2023)
16K
61.3
32.2
33.8
LLaMA-7B Extended
16K
60.0
28.0
29.5
Table 6: ROUGE Score on GovReport Dataset.

opensubtitles
0.871
0.900
0.879
europarl
0.833
0.938
-
books3
0.675
0.712
0.835
philpapers
0.656
0.695
0.742
gutenberg_pg_19
0.548
0.656
0.890
bookcorpus2
0.714
0.741
-
ubuntu_irc
1.026
1.090
0.857
Table A5 | Bits-per-Byte on The Pile. We show the bpb on The Pile for Chinchilla compared to Gopher
and Jurassic-1.
H.2. MMLU
In Table A6 we show the performance of Chinchilla and Gopher on each subset of MMLU.
H.3. Winogender Setup

ROUGE-1&2, ROUGE-L
31,510
1,057.63
135.22
Summarization
WikiSum
ROUGE-1&2, ROUGE-L
6,874
2,101.13
422.31
Summarization
Multi-News
ROUGE-1&2, ROUGE-L
5,339
3,106.26
285.37
Reading Comprehension
SQuAD
F1
62,336
858.54
5.74
Reading Comprehension
HotpotQA
F1
62,400
595.62
5.46
Reading Comprehension
MS MARCO
F1
40,029
1,314.41
24.82
Reading Comprehension
BoolQ
Accuracy, F1
62,384
652.50
2.00
Reading Comprehension
WebGLM-QA
BLEU-1&2, ROUGE-L
29,164
1,107.86
140.69
Reading Comprehension
Trivia-QA
F1
34,140

from Rae et al. (2021) for additional details.
In Appendix G we show the impact of the various optimiser related changes between Chinchilla
and Gopher. All models in this analysis have been trained on TPUv3/TPUv4 (Jouppi et al., 2017) with
JAX (Bradbury et al., 2018) and Haiku (Hennigan et al., 2020). We include a Chinchilla model card
(Mitchell et al., 2019) in Table A8.
Model
Layers
Number Heads
Key/Value Size
dmodel
Max LR
Batch Size
Gopher 280B
80
128
128
16,384
4 × 10−5
3M →6M
Chinchilla 70B
80
64
128

BLEU-1&2, ROUGE-L
62,395
644.02
15.66
Query Reformulation
CANARD
BLEU-1&2, ROUGE-L
30,437
666.32
16.43
Query Reformulation
TREC-CAsT
BLEU-1&2, ROUGE-L
606
444.37
14.40
Query Reformulation
GECOR
BLEU-1&2, ROUGE-L
4,056
559.53
12.27
Query Clarification
MIMICS
EM-Precision, Recall, F1
16,734
153.83
21.06
Query Clarification
MIMICS-Duo
EM-Precision, Recall, F1
5,484
172.27
22.43
Query Clarification
ClariQ-FKw
BLEU-1&2, ROUGE-L
13,086
142.50
12.47
Query Clarification
RaoCQ
BLEU-1&2, ROUGE-L
2,759
854.22
15.33","ANSWER: Based on the data given, there are no specific enhancements mentioned for Claude 2.1 compared to its previous version within the provided context. Therefore, I can't provide accurate insights into key capabilities or improvements.","Based on the data given, there are no specific enhancements mentioned for Claude 2.1 compared to its previous version within the provided context. Therefore, I can't provide accurate insights into key capabilities or improvements.",0.6,0.95,True,1.2,0.0,768
all-mpnet-base-v2,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,27,What is the significance of the accuracy percentage achieved by Chinchilla on the MMLU benchmark?,"et al., 2019), Winogrande (Sakaguchi et al., 2020), HellaSwag (Zellers et al., 2019), and BoolQ
(Clark et al., 2019). We ﬁnd that Chinchilla outperforms both Gopher and GPT-3 on all tasks and
outperforms MT-NLG 530B on all but one task—see Table 8.
On TruthfulQA (Lin et al., 2021), Chinchilla reaches 43.6%, 58.5%, and 66.7% accuracy with
0-shot, 5-shot, and 10-shot respectively. In comparison, Gopher achieved only 29.5% 0-shot and 43.7%

2/57, and worse on only 4/57 tasks.
Chinchilla
Gopher
GPT-3
MT-NLG 530B
LAMBADA Zero-Shot
77.4
74.5
76.2
76.6
RACE-m Few-Shot
86.8
75.1
58.1
-
RACE-h Few-Shot
82.3
71.6
46.8
47.9
Table 7 | Reading comprehension. On RACE-h and RACE-m (Lai et al., 2017), Chinchilla considerably
improves performance over Gopher. Note that GPT-3 and MT-NLG 530B use a diﬀerent prompt format
than we do on RACE-h/m, so results are not comparable to Gopher and Chinchilla. On LAMBADA

We analysed Chinchilla on the same set of BIG-bench tasks (BIG-bench collaboration, 2021) reported
in Rae et al. (2021). Similar to what we observed in MMLU, Chinchilla outperforms Gopher on the
vast majority of tasks (see Figure 7). We ﬁnd that Chinchilla improves the average performance
by 10.7%, reaching an accuracy of 65.1% versus 54.4% for Gopher. Of the 62 tasks we consider,
Chinchilla performs worse than Gopher on only four—crash_blossom, dark_humor_detection,
11

67.6% (improving upon Gopher by 7.6%). Remarkably, Chinchilla even outperforms the expert forecast
for June 2023 of 63.4% accuracy (see Table 6) (Steinhardt, 2021). Furthermore, Chinchilla achieves
greater than 90% accuracy on 4 diﬀerent individual tasks– high_school_gov_and_politics,
international_law, sociology, and us_foreign_policy. To our knowledge, no other model
has achieved greater than 90% accuracy on a subset.

are discussed in detail in Weidinger et al. (2021).
Table A8 | Chinchilla model card. We follow the framework presented in Mitchell et al. (2019).
J. List of trained models
In Table A9 we list the model size and conﬁguration of all models used in this study. Many models
have been trained multiple times, for a diﬀerent number of training steps.
34","Answer: Chinchilla demonstrates impressive performance on the MMLU benchmark, achieving an accuracy of up to 65.1%. This superiority significantly outperforms its closest competitor, Gopher, improving the overall accuracy by 10.7%. Notably, Chinchilla also excels at several specific tasks, attaining more than 90% accuracy on certain subjects like high school government and politics, international law, sociology, and U.S. foreign policy – a","Chinchilla demonstrates impressive performance on the MMLU benchmark, achieving an accuracy of up to 65.1%. This superiority significantly outperforms its closest competitor, Gopher, improving the overall accuracy by 10.7%. Notably, Chinchilla also excels at several specific tasks, attaining more than 90% accuracy on certain subjects like high school government and politics, international law, sociology, and U.S. foreign policy – a",0.6,0.95,True,1.2,0.0,768
all-mpnet-base-v2,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,28,Why is Chinchilla considered more efficient in terms of computing power for inference and fine-tuning?,"from Rae et al. (2021) for additional details.
In Appendix G we show the impact of the various optimiser related changes between Chinchilla
and Gopher. All models in this analysis have been trained on TPUv3/TPUv4 (Jouppi et al., 2017) with
JAX (Bradbury et al., 2018) and Haiku (Hennigan et al., 2020). We include a Chinchilla model card
(Mitchell et al., 2019) in Table A8.
Model
Layers
Number Heads
Key/Value Size
dmodel
Max LR
Batch Size
Gopher 280B
80
128
128
16,384
4 × 10−5
3M →6M
Chinchilla 70B
80
64
128

We analysed Chinchilla on the same set of BIG-bench tasks (BIG-bench collaboration, 2021) reported
in Rae et al. (2021). Similar to what we observed in MMLU, Chinchilla outperforms Gopher on the
vast majority of tasks (see Figure 7). We ﬁnd that Chinchilla improves the average performance
by 10.7%, reaching an accuracy of 65.1% versus 54.4% for Gopher. Of the 62 tasks we consider,
Chinchilla performs worse than Gopher on only four—crash_blossom, dark_humor_detection,
11

G. Other diﬀerences between Chinchilla and Gopher
Beyond diﬀerences in model size and number of training tokens, there are some additional minor
diﬀerences between Chinchilla and Gopher. Speciﬁcally, Gopher was trained with Adam (Kingma and
Ba, 2014) whereas Chinchilla was trained with AdamW (Loshchilov and Hutter, 2019). Furthermore,
as discussed in Lessons Learned in Rae et al. (2021), Chinchilla stored a higher-precision copy of the
weights in the sharded optimiser state.

2/57, and worse on only 4/57 tasks.
Chinchilla
Gopher
GPT-3
MT-NLG 530B
LAMBADA Zero-Shot
77.4
74.5
76.2
76.6
RACE-m Few-Shot
86.8
75.1
58.1
-
RACE-h Few-Shot
82.3
71.6
46.8
47.9
Table 7 | Reading comprehension. On RACE-h and RACE-m (Lai et al., 2017), Chinchilla considerably
improves performance over Gopher. Note that GPT-3 and MT-NLG 530B use a diﬀerent prompt format
than we do on RACE-h/m, so results are not comparable to Gopher and Chinchilla. On LAMBADA

has achieved greater than 90% accuracy on a subset.
In Figure 6, we show a comparison to Gopher broken down by task. Overall, we ﬁnd that Chin-
chilla improves performance on the vast majority of tasks. On four tasks (college_mathematics,
econometrics, moral_scenarios, and formal_logic) Chinchilla underperforms Gopher, and
there is no change in performance on two tasks.
4.2.3. Reading comprehension
On the ﬁnal word prediction dataset LAMBADA (Paperno et al., 2016), Chinchilla achieves 77.4%","I don't have enough information to determine why Chinchilla might be considered more efficient in terms of computing power specifically for inference and fine-tuning. However, it is mentioned in the context that all models were trained on Google’s Tensor Processing Units (TPUs) with JAX and Haiku, which could suggest optimization for computational efficiency during training. Additionally, Chinchilla improved the average performance by 10.7% compared to another model called Gopher across various tasks","I don't have enough information to determine why Chinchilla might be considered more efficient in terms of computing power specifically for inference and fine-tuning. However, it is mentioned in the context that all models were trained on Google’s Tensor Processing Units (TPUs) with JAX and Haiku, which could suggest optimization for computational efficiency during training. Additionally, Chinchilla improved the average performance by 10.7% compared to another model called Gopher across various tasks",0.6,0.95,True,1.2,0.0,768
all-mpnet-base-v2,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,33,What assumptions must be met in order for the reparameterization of reward functions to be applied within the context of Plackett-Luce and Bradley-Terry models?,"Theorem 1. Under mild assumptions, all reward classes consistent with the Plackett-Luce
(and Bradley-Terry in particular) models can be represented with the reparameterization
r(x, y) = β log
π(y|x)
πref(y|x) for some model π(y | x) and a given reference model πref(y | x).
Proof Sketch. Consider any reward function r(x, y), which induces a corresponding optimal model
πr(y | x), specified by Eq. 4. We will show that a reward function from the equivalence class of r

reward function in the equivalence class of r(x, y). Finally, replacing r with the RHS of Eq. 5 (which
holds for any reward function), we have f(r; πref, β)(x, y) = β log πr(y|x)
πref(y|x). That is, the projection
f produces a member of the equivalence class of r with the desired form, and we do not lose any
generality in our reward model from the proposed reparameterization.
We can alternatively view Theorem 1 as specifying exactly which reward function within each

outlined in Theorem 1 is unique.
Proposition 1. Assume, we have a reference model, such that πref(y|x) > 0 for all pairs of prompts
x and answers y and a parameter β > 0. Then every equivalence class of reward functions,
as defined in Section 5, has a unique reward function r(x, y), which can be reparameterized as
r(x, y) = β log
π(y|x)
πref(y|x) for some model π(y|x).
18

parametric model πθ, equivalently to the reward model optimization in Eq. 2 under the change of
variables. In this section we will build the theory behind this reparameterization, show that it does
not constrain the class of learned reward models, and allows for the exact recovery of the optimal
policy. We begin with by defining an equivalence relation between reward functions.
Definition 1. We say that two reward functions r(x, y) and r′(x, y) are equivalent iff

Theorem 1 Restated. Assume, we have a reference model, such that πref(y|x) > 0 for all pairs of
prompts x and answers y and a parameter β > 0. All reward equivalence classes, as defined in
Section 5 can be represented with the reparameterization r(x, y) = β log
π(y|x)
πref(y|x) for some model
π(y|x).
Proof. Consider any reward function r(x, y), which induces an optimal model πr(y|x) under the
KL-constrained RL problem, with solution given by 4. Following Eq. 5, when we log-linearize both
sides we obtain:","Answer: To apply the reparameterization of reward functions to Plackett-Luce and Bradley-Terry models, two key assumptions must be met:

* There should exist a positive reference model πref(y|x) that applies to all prompt-answer pairs.
* A parameter β > 0 should also be present.","To apply the reparameterization of reward functions to Plackett-Luce and Bradley-Terry models, two key assumptions must be met: There should exist a positive reference model πref(y|x) that applies to all prompt-answer pairs. A parameter β > 0 should also be present.",0.6,0.95,True,1.2,0.0,768
all-mpnet-base-v2,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,53,What are the implications of adding updates on the pretraining data during the fine-tuning phase of model development based on the observed performance of the models?,"effective when dealing with stable data or when the model needs to adhere to a
specific tone and style.
Drawbacks: Fine-tuning is computationally expensive and often requires
substantial resources for initial training. Additionally, it risks overfitting if the
dataset is too narrow, making the model less generalizable.
Use Case Examples:
– Medical Diagnosis: A fine-tuned model on medical datasets becomes highly
specialized in understanding and generating medical advice based on specific

Concerns of QA data fine-tuning#
Before we dive into the details of many models below. I would like to point out one concern of fine-tuning a model with common QA datasets, which appears as one fine-tuning step in several ODQA models. It could be concerning, because there is a significant overlap between questions in the train and test sets in several public QA datasets.

Fine-tuning New Knowledge#
Fine-tuning a pre-trained LLM via supervised fine-tuning and RLHF is a common technique for improving certain capabilities of the model like instruction following. Introducing new knowledge at the fine-tuning stage is hard to avoid.

Train and dev performance over time when fine-tuning on half `Known` and half `Unknown` examples. `Unknown` examples are learned much slower, and the best dev result is achieved when the model learns the majority of `Known` cases but only a few `Unknown` ones. (Image source: Gekhman et al. 2024)

vealed that while unsupervised fine-tuning shows some im-
provement, RAG consistently outperforms it, for both exist-
ing knowledge encountered during training and entirely new
knowledge. Additionally, it was found that LLMs struggle
to learn new factual information through unsupervised fine-
tuning. The choice between RAG and FT depends on the
specific needs for data dynamics, customization, and com-
putational capabilities in the application context. RAG and","Response: Based on the provided context, updating the pretraining data during the fine-tuning phase can impact the overall performance of a model. While fine-tuning may improve certain capabilities such as instruction following, learning new factual information through unsupervised fine-tuning has been shown to be challenging. In comparison, an alternative approach called Reinforced Agent Generation (RAG) demonstrated superior results in handling both existing and new knowledge. This suggests that choosing between these two methods should consider factors such as data","Based on the provided context, updating the pretraining data during the fine-tuning phase can impact the overall performance of a model. While fine-tuning may improve certain capabilities such as instruction following, learning new factual information through unsupervised fine-tuning has been shown to be challenging. In comparison, an alternative approach called Reinforced Agent Generation (RAG) demonstrated superior results in handling both existing and new knowledge. This suggests that choosing between these two methods should consider factors such as data",0.6,0.95,True,1.2,0.0,768
all-mpnet-base-v2,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,63,What are the advantages of applying LoRA to transformer models in terms of computational efficiency during training and deployment?,"• LoRA is orthogonal to many prior methods and can be combined with many of them, such
as preﬁx-tuning. We provide an example in Appendix E.
Terminologies and Conventions
We make frequent references to the Transformer architecture
and use the conventional terminologies for its dimensions.
We call the input and output di-
mension size of a Transformer layer dmodel.
We use Wq, Wk, Wv, and Wo to refer to the
query/key/value/output projection matrices in the self-attention module. W or W0 refers to a pre-

trained model weights and injects trainable rank decomposition matrices into each
layer of the Transformer architecture, greatly reducing the number of trainable pa-
rameters for downstream tasks. Compared to GPT-3 175B ﬁne-tuned with Adam,
LoRA can reduce the number of trainable parameters by 10,000 times and the
GPU memory requirement by 3 times. LoRA performs on-par or better than ﬁne-
tuning in model quality on RoBERTa, DeBERTa, GPT-2, and GPT-3, despite hav-

size is reduced by roughly 10,000× (from 350GB to 35MB)4. This allows us to train with signiﬁ-
cantly fewer GPUs and avoid I/O bottlenecks. Another beneﬁt is that we can switch between tasks
while deployed at a much lower cost by only swapping the LoRA weights as opposed to all the
parameters. This allows for the creation of many customized models that can be swapped in and out
on the ﬂy on machines that store the pre-trained weights in VRAM. We also observe a 25% speedup

7.1
WHICH WEIGHT MATRICES IN TRANSFORMER SHOULD WE APPLY LORA TO?
Given a limited parameter budget, which types of weights should we adapt with LoRA to obtain
the best performance on downstream tasks? As mentioned in Section 4.2, we only consider weight
matrices in the self-attention module. We set a parameter budget of 18M (roughly 35MB if stored
in FP16) on GPT-3 175B, which corresponds to r = 8 if we adapt one type of attention weights or

Table 1 | Current LLMs. We show ﬁve of the current largest dense transformer models, their size,
and the number of training tokens. Other than LaMDA (Thoppilan et al., 2022), most models are
trained for approximately 300 billion tokens. We introduce Chinchilla, a substantially smaller model,
trained for much longer than 300B tokens.
Model
Size (# Parameters)
Training Tokens
LaMDA (Thoppilan et al., 2022)
137 Billion
168 Billion
GPT-3 (Brown et al., 2020)
175 Billion
300 Billion","ANSWER: Applying LoRA to transformer models offers significant advantages during both training and deployment phases. By focusing on specific weight matrices within the self-attention module, LoRA drastically reduces the number of trainable parameters compared to traditional fine-tuning methods, leading to a reduction in GPU memory requirements by up to three times. Additionally, LoRA allows for faster training due to a 25% speedup, and it enables easier task switching while deployed at a much lower cost through simple","Applying LoRA to transformer models offers significant advantages during both training and deployment phases. By focusing on specific weight matrices within the self-attention module, LoRA drastically reduces the number of trainable parameters compared to traditional fine-tuning methods, leading to a reduction in GPU memory requirements by up to three times. Additionally, LoRA allows for faster training due to a 25% speedup, and it enables easier task switching while deployed at a much lower cost through simple",0.6,0.95,True,1.2,0.0,768
all-mpnet-base-v2,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,76,"What are the key differences between HALO and non-HALO loss functions, and what impact do these differences have on language model alignment?","This is not a HALO, since that would demand that
−log πref(y|x) always equal the reference point; how-
ever, since the reference point is fixed for a given x, this
is not possible when πref is a non-uniform distribution.
2. SLiC: Sequence Likelihood Calibration (Zhao et al.,
2023), which combines a max-margin loss for prefer-
ences with a language modeling loss, is not a HALO
(for the same reasons given above for CSFT):
Lcal(πθ) = Ex,yw,yl∼D

max

0, δ −log πθ(yw|x)
πθ(yl|x)


ultimately suggests that there is no one HALO that is uni-
versally superior; the best HALO depends on the inductive
biases appropriate for a given setting, and this choice should
be made deliberately instead of defaulting to any one loss.
2Our code is available on Github; models are on Huggingface.
2. Background
For a detailed survey, please see Appendix A. In brief, LLMs
are traditionally trained in three stages (Ouyang et al., 2022):
Pretraining
Given a large corpus, train the model to max-

sally superior, there is no one loss function either—the best
HALO depends on the inductive biases that are most ap-
propriate for a given setting, and much work remains to be
done in identifying the best HALO for each context.
Acknowledgements
We thank Percy Liang, Dilip Arumugam, Arya McCarthy,
and Nathan Lambert for feedback. We thank Stas Bekman
and Gautam Mittal for cluster assistance and Alex Manthey
for helping with human evaluation.
Impact Statement

theory we dicuss here (Tversky & Kahneman, 1992).
is used to get the relative gain or loss; concavity in relative
gains (i.e., diminishing sensitivity away from z0); and loss
aversion (i.e., greater sensitivity to losses).
3.2. HALOs
Definition 3.4 (HALOs). Let θ denote the trainable param-
eters of the model πθ : X →P(Y) being aligned, πref the
reference model, l : Y →R+ a normalizing factor, and
rθ(x, y) = l(y) log[πθ(y|x)/πref(y|x)] the implied reward.

since both HALOs and non-HALOs are diverse function
classes, but we attempt to do so by comparing popular meth-
ods that qualify as a HALO with those that do not:
1. CSFT: Conditional SFT is a simple alignment method
where a control token is prepended to the output during
training; then, at inference, the control token corre-
sponding to desirable generations is appended to the
input to induce good generations (Korbak et al., 2023).
This is not a HALO, since that would demand that","ANSWER:
Key differences between HALO and non-HALO loss functions lie in their adaptability to various settings. While HALOs adjust according to specific inductive biases, non-HALOs maintain a uniform approach regardless of context. This flexibility allows HALOs to potentially deliver more accurate language model alignments compared to non-HALOs. However, it's important to note that no single loss function reigns supreme across all scenarios; the ideal loss function must be carefully selected based on","Key differences between HALO and non-HALO loss functions lie in their adaptability to various settings. While HALOs adjust according to specific inductive biases, non-HALOs maintain a uniform approach regardless of context. This flexibility allows HALOs to potentially deliver more accurate language model alignments compared to non-HALOs. However, it's important to note that no single loss function reigns supreme across all scenarios; the ideal loss function must be carefully selected based on",0.6,0.95,True,1.2,0.0,768
all-mpnet-base-v2,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,87,What are the main components that complement the central controller in an autonomous agent system?,"Component One: Planning#
A complicated task usually involves many steps. An agent needs to know what they are and plan ahead.
Task Decomposition#

Planning

Subgoal and decomposition: The agent breaks down large tasks into smaller, manageable subgoals, enabling efficient handling of complex tasks.
Reflection and refinement: The agent can do self-criticism and self-reflection over past actions, learn from mistakes and refine them for future steps, thereby improving the quality of final results.


Memory

Citation#
Cited as:

Weng, Lilian. (Jun 2023). “LLM-powered Autonomous Agents”. Lil’Log. https://lilianweng.github.io/posts/2023-06-23-agent/.

The generative agent architecture. (Image source: Park et al. 2023)

LLM Powered Autonomous Agents
    
Date: June 23, 2023  |  Estimated Reading Time: 31 min  |  Author: Lilian Weng","ANSWER: To build an effective autonomous agent system, it requires more than just a central controller. Two key components that work alongside it are Task Decomposition and Memory. Task Decomposition helps agents break down complex tasks into manageable subtasks, ensuring efficiency. This capability leads to improved productivity and better overall performance. Meanwhile, the Memory component allows agents to store and recall data from their experiences, helping them learn from past mistakes and improve their decision making. By incorporating these elements, our autonom","To build an effective autonomous agent system, it requires more than just a central controller. Two key components that work alongside it are Task Decomposition and Memory. Task Decomposition helps agents break down complex tasks into manageable subtasks, ensuring efficiency. This capability leads to improved productivity and better overall performance. Meanwhile, the Memory component allows agents to store and recall data from their experiences, helping them learn from past mistakes and improve their decision making. By incorporating these elements, our autonom",0.6,0.95,True,1.2,0.0,768
all-mpnet-base-v2,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,92,In what ways can an agent's performance be evaluated and refined over time?,"Performance Evaluation:
1. Continuously review and analyze your actions to ensure you are performing to the best of your abilities.
2. Constructively self-criticize your big-picture behavior constantly.
3. Reflect on past decisions and strategies to refine your approach.
4. Every command has a cost, so be smart and efficient. Aim to complete tasks in the least number of steps.

Planning

Subgoal and decomposition: The agent breaks down large tasks into smaller, manageable subgoals, enabling efficient handling of complex tasks.
Reflection and refinement: The agent can do self-criticism and self-reflection over past actions, learn from mistakes and refine them for future steps, thereby improving the quality of final results.


Memory

many times and in each episode the agent gets a little better, AD concatenates this learning history and feeds that into the model. Hence we should expect the next predicted action to lead to better performance than previous trials. The goal is to learn the process of RL instead of training a task-specific policy itself.

Self-Reflection#
Self-reflection is a vital aspect that allows autonomous agents to improve iteratively by refining past action decisions and correcting previous mistakes. It plays a crucial role in real-world tasks where trial and error are inevitable.

the agent computes a heuristic $h_t$ and optionally may decide to reset the environment to start a new trial depending on the self-reflection results.","Answer: An agent's performance can be evaluated and refined over time through continuous self-evaluation, constructive self-criticism, reflecting on past decisions, and striving for efficiency. This iterative improvement process helps agents learn from their mistakes, leading to improved outcomes. (CONTEXT)","An agent's performance can be evaluated and refined over time through continuous self-evaluation, constructive self-criticism, reflecting on past decisions, and striving for efficiency. This iterative improvement process helps agents learn from their mistakes, leading to improved outcomes. (CONTEXT)",0.6,0.95,True,1.2,0.0,768
